#{"t_start": 1710681383.5223444, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-3087.254417,2400,8.457715
-9174.745035,2400,15.827437
-6656.054873,2400,23.585279
-29441.43894,2400,31.578403
-9346.569737,2400,39.598819
-24611.872359,2400,48.707703
-18965.29453,2400,56.847561
-12317.999122,2400,66.263287
-4652.852938,2400,74.676666
-14853.354792,2400,83.430433
-34114.325103,2400,91.834755
-21514.908349,2400,100.383339
-22749.931026,2400,108.486905
-25825.547902,2400,116.936458
-2354.671255,2400,125.707701
-7701.279746,2400,134.416474
-12975.275717,2400,143.263759
-23844.565201,2400,151.183689
-11271.206534,2400,159.332436
