#{"t_start": 1710693086.2258296, "env_id": "LoaderSnakebotEnv-v0"}
r,l,t
-60244.449564,5000,20.748351
-40830.126079,5000,40.828067
-47537.667191,5000,64.024081
-16330.265566,5000,86.479851
-6723.212265,5000,111.015568
-52391.095965,5000,132.107247
-34527.155681,5000,157.037583
-41872.328522,5000,177.835624
-25447.73281,5000,199.589307
-34681.852666,5000,223.49837
-61945.189085,5000,244.232868
-66795.255386,5000,266.119566
-63207.951864,5000,286.568165
-55216.295164,5000,310.69203
-41502.848062,5000,332.374568
-71483.422069,5000,354.946703
-41183.639135,5000,375.232646
-12034.955762,5000,398.353325
-17284.765478,5000,423.523634
-56623.324732,5000,447.947441
-86222.957098,5000,463.747815
-48899.501187,5000,476.232463
-30095.343894,5000,487.924657
-81887.38309,5000,500.219946
-19282.153458,5000,510.983297
-78710.039118,5000,523.36033
-44166.724512,5000,535.345001
-44637.792432,5000,547.436229
-60478.083221,5000,558.662338
-73989.561091,5000,570.208625
