#{"t_start": 1712348755.0367708, "env_id": "StandardSnakebotEnv-v0"}
r,l,t
0.054371,100000,181.45941
0.054371,100000,362.715621
0.054371,100000,548.901195
0.054371,100000,733.654107
0.054371,100000,917.533875
0.054371,100000,1101.153069
0.054371,100000,1281.840896
0.054371,100000,1466.125718
0.054371,100000,1650.665333
0.054371,100000,1833.931396
0.054371,100000,2036.792238
0.054371,100000,2225.809422
0.054371,100000,2415.029562
0.054371,100000,2604.59499
0.054371,100000,2801.710351
0.054371,100000,2997.969687
0.054371,100000,3187.565448
0.054371,100000,3375.363122
0.054371,100000,3563.696127
0.054371,100000,3751.717232
